Time,Q,S_s,S_NH4
1.041666667,22011,64.57526,33.15925
1.052083333,23310,67.84871,35.11773
1.0625,23158,72.14054,37.86587
1.072916667,15122,72.47069,37.86587
1.083333333,15319,69.7643,36.8501
1.09375,15342,67.49915,36.47441
1.104166667,14751,62.83833,34.38721
1.114583333,14287,62.24019,34.67942
1.125,12478,53.74197,32.06695
1.135416667,12477,54.44886,29.89975
1.145833333,11347,50.06769,27.06813
1.15625,11037,46.35457,24.70265
1.166666667,10473,44.35819,23.38772
1.177083333,10000,42.57931,22.19802
1.1875,11258,40.00033,20.31607
1.197916667,10436,40.38873,20.54218
1.208333333,10976,40.77713,20.71611
1.21875,11250,40.46641,20.7509
1.229166667,11740,40.83539,20.66393
1.239583333,11562,40.46641,20.61175
1.25,12124,40.50525,20.54218
1.260416667,12578,40.52467,20.43782
1.270833333,11399,40.31105,20.40303
1.28125,11448,40.11685,20.15953
1.291666667,12090,40.04693,20.02734
1.302083333,12429,40.34212,19.99951
1.3125,11500,40.58293,20.10039
1.322916667,11717,40.89365,20.40303
1.333333333,11751,41.16553,20.82047
1.34375,11489,41.86465,21.16834
1.354166667,12859,42.42395,21.6136
1.364583333,12350,43.94649,22.1354
1.375,12194,48.77431,24.68178
1.385416667,15329,59.88648,29.65625
1.395833333,22901,71.46084,34.24807
1.40625,23690,80.00567,37.93544
1.416666667,24749,94.90087,43.39692
1.427083333,27249,105.7761,46.61468
1.4375,29504,115.2104,49.24802
1.447916667,31868,120.011,49.99941
1.458333333,32126,118.9701,49.24802
1.46875,31909,112.1109,45.74154
1.479166667,31927,102.4553,40.85751
1.489583333,31719,94.81153,39.03469
1.5,30926,88.37961,36.8501
1.510416667,27039,81.2874,34.24807
1.520833333,25844,75.7721,32.16088
1.53125,25174,70.37332,30.77985
1.541666667,24783,68.27595,29.79539
1.552083333,24444,67.03307,29.23881
1.5625,22762,66.76507,28.52221
1.572916667,24940,67.07967,27.95867
1.583333333,24113,68.08952,28.12564
1.59375,23320,68.72261,27.55166
1.604166667,22247,68.31479,27.4647
1.614583333,21875,65.16874,26.45589
1.625,21863,61.64516,26.1776
1.635416667,21236,59.76219,26.28891
1.645833333,21473,58.94655,26.78984
1.65625,20822,59.38933,27.29076
1.666666667,20463,60.21274,27.12379
1.677083333,20034,62.42662,27.42295
1.6875,19328,65.86786,28.33436
1.697916667,18928,65.61928,28.2787
1.708333333,18510,64.00353,27.7082
1.71875,18319,59.54469,26.68548
1.729166667,18224,58.34064,26.57068
1.739583333,19106,57.33857,26.62286
1.75,22491,58.6902,27.4647
1.760416667,21604,60.46908,28.33436
1.770833333,22228,63.25004,29.26664
1.78125,21169,62.37225,30.63027
1.791666667,19849,62.21689,30.58853
1.802083333,17451,62.01492,28.16043
1.8125,18335,66.41162,29.79539
1.822916667,22018,67.18843,29.82322
1.833333333,23369,68.47015,30.30328
1.84375,23270,71.88808,32.13305
1.854166667,25050,75.64392,33.77149
1.864583333,21540,77.44222,34.30373
1.875,19321,80.08335,35.63953
1.885416667,21190,82.60408,36.06393
1.895833333,26591,83.83531,35.93174
1.90625,24225,84.21983,35.45168
1.916666667,23902,83.377,35.69519
1.927083333,24339,81.99584,35.62561
1.9375,21529,80.14161,35.37863
1.947916667,26978,77.75294,34.9438
1.958333333,25693,75.6245,34.14371
1.96875,24779,71.87255,32.70355
1.979166667,24086,69.45669,31.46515
1.989583333,23308,67.49915,30.68245
2,21017,63.63455,30.24762
2.010416667,21014,61.67313,30.21283
2.020833333,19118,61.71973,31.04771
2.03125,18847,62.16018,31.67387
2.041666667,18509,64.57526,33.15925
2.052083333,17886,67.84871,35.11773
2.0625,17445,72.14054,37.86587
2.072916667,16858,72.47069,37.86587
2.083333333,16116,69.7643,36.8501
2.09375,16206,67.49915,36.47441
2.104166667,15965,62.83833,34.38721
2.114583333,14494,62.24019,34.67942
2.125,13423,53.74197,32.06695
2.135416667,12660,54.44886,29.89975
2.145833333,12059,50.06769,27.06813
2.15625,11453,46.35457,24.70265
2.166666667,12083,44.35819,23.38772
2.177083333,11554,42.57931,22.19802
2.1875,11875,40.00033,20.31607
2.197916667,13101,40.38873,20.54218
2.208333333,12323,40.77713,20.71611
2.21875,13271,40.46641,20.7509
2.229166667,13614,40.83539,20.66393
2.239583333,13604,40.46641,20.61175
2.25,12382,40.50525,20.54218
2.260416667,12408,40.52467,20.43782
2.270833333,11767,40.31105,20.40303
2.28125,12006,40.11685,20.15953
2.291666667,11805,40.04693,20.02734
2.302083333,11951,40.34212,19.99951
2.3125,12317,40.58293,20.10039
2.322916667,12825,40.89365,20.40303
2.333333333,12800,41.16553,20.82047
2.34375,12600,41.86465,21.16834
2.354166667,13408,42.42395,21.6136
2.364583333,13952,43.94649,22.1354
2.375,17235,48.77431,24.68178
2.385416667,17233,59.88648,29.65625
2.395833333,21804,71.46084,34.24807
2.40625,25418,80.00567,37.93544
2.416666667,24776,94.90087,43.39692
2.427083333,26842,105.7761,46.61468
2.4375,28519,115.2104,49.24802
2.447916667,30707,120.011,49.99941
2.458333333,31000,118.9701,49.24802
2.46875,31009,112.1109,45.74154
2.479166667,30713,102.4553,40.85751
2.489583333,27093,94.81153,39.03469
2.5,25812,88.37961,36.8501
2.510416667,25808,81.2874,34.24807
2.520833333,24748,75.7721,32.16088
2.53125,24677,70.37332,30.77985
2.541666667,21745,68.27595,29.79539
2.552083333,25678,67.03307,29.23881
2.5625,25062,66.76507,28.52221
2.572916667,23552,67.07967,27.95867
2.583333333,22693,68.08952,28.12564
2.59375,20001,68.72261,27.55166
2.604166667,18269,68.31479,27.4647
2.614583333,24508,65.16874,26.45589
2.625,22354,61.64516,26.1776
2.635416667,20755,59.76219,26.28891
2.645833333,21824,58.94655,26.78984
2.65625,17785,59.38933,27.29076
2.666666667,17047,60.21274,27.12379
2.677083333,18755,62.42662,27.42295
2.6875,18708,65.86786,28.33436
2.697916667,19125,65.61928,28.2787
2.708333333,18535,64.00353,27.7082
2.71875,18029,59.54469,26.68548
2.729166667,17772,58.34064,26.57068
2.739583333,18093,57.33857,26.62286
2.75,18205,58.6902,27.4647
2.760416667,18209,60.46908,28.33436
2.770833333,18193,63.25004,29.26664
2.78125,22437,62.37225,30.63027
2.791666667,21842,62.21689,30.58853
2.802083333,21390,62.01492,28.16043
2.8125,21824,66.41162,29.79539
2.822916667,18403,67.18843,29.82322
2.833333333,20104,68.47015,30.30328
2.84375,23390,71.88808,32.13305
2.854166667,21850,75.64392,33.77149
2.864583333,22120,77.44222,34.30373
2.875,21151,80.08335,35.63953
2.885416667,18582,82.60408,36.06393
2.895833333,25345,83.83531,35.93174
2.90625,23343,84.21983,35.45168
2.916666667,22372,83.377,35.69519
2.927083333,21725,81.99584,35.62561
2.9375,17083,80.14161,35.37863
2.947916667,24968,77.75294,34.9438
2.958333333,22540,75.6245,34.14371
2.96875,23343,71.87255,32.70355
2.979166667,21738,69.45669,31.46515
2.989583333,19429,67.49915,30.68245
3,17915,63.63455,30.24762
3.010416667,18156,61.67313,30.21283
3.020833333,18561,61.71973,31.04771
3.03125,22713,62.16018,31.67387
3.041666667,21366,64.57526,33.15925
3.052083333,22596,67.84871,35.11773
3.0625,22452,72.14054,37.86587
3.072916667,14847,72.47069,37.86587
3.083333333,15033,69.7643,36.8501
3.09375,15055,67.49915,36.47441
3.104166667,14496,62.83833,34.38721
3.114583333,14056,62.24019,34.67942
3.125,12345,53.74197,32.06695
3.135416667,12344,54.44886,29.89975
3.145833333,11274,50.06769,27.06813
3.15625,10981,46.35457,24.70265
3.166666667,10448,44.35819,23.38772
3.177083333,10000,42.57931,22.19802
3.1875,11190,40.00033,20.31607
3.197916667,10412,40.38873,20.54218
3.208333333,10923,40.77713,20.71611
3.21875,11182,40.46641,20.7509
3.229166667,11646,40.83539,20.66393
3.239583333,11478,40.46641,20.61175
3.25,12009,40.50525,20.54218
3.260416667,12439,40.52467,20.43782
3.270833333,11323,40.31105,20.40303
3.28125,11370,40.11685,20.15953
3.291666667,11977,40.04693,20.02734
3.302083333,12298,40.34212,19.99951
3.3125,11419,40.58293,20.10039
3.322916667,11624,40.89365,20.40303
3.333333333,11656,41.16553,20.82047
3.34375,11409,41.86465,21.16834
3.354166667,12704,42.42395,21.6136
3.364583333,12223,43.94649,22.1354
3.375,12076,48.77431,24.68178
3.385416667,15040,59.88648,29.65625
3.395833333,22202,71.46084,34.24807
3.40625,22948,80.00567,37.93544
3.416666667,23950,94.90087,43.39692
3.427083333,26314,105.7761,46.61468
3.4375,28447,115.2104,49.24802
3.447916667,30682,120.011,49.99941
3.458333333,30926,118.9701,49.24802
3.46875,30720,112.1109,45.74154
3.479166667,30737,102.4553,40.85751
3.489583333,30540,94.81153,39.03469
3.5,29790,88.37961,36.8501
3.510416667,26113,81.2874,34.24807
3.520833333,24983,75.7721,32.16088
3.53125,24349,70.37332,30.77985
3.541666667,23979,68.27595,29.79539
3.552083333,23658,67.03307,29.23881
3.5625,22068,66.76507,28.52221
3.572916667,24127,67.07967,27.95867
3.583333333,23345,68.08952,28.12564
3.59375,22595,68.72261,27.55166
3.604166667,21580,68.31479,27.4647
3.614583333,21228,65.16874,26.45589
3.625,21217,61.64516,26.1776
3.635416667,20623,59.76219,26.28891
3.645833333,20848,58.94655,26.78984
3.65625,20232,59.38933,27.29076
3.666666667,19893,60.21274,27.12379
3.677083333,19487,62.42662,27.42295
3.6875,18819,65.86786,28.33436
3.697916667,18441,65.61928,28.2787
3.708333333,18045,64.00353,27.7082
3.71875,17864,59.54469,26.68548
3.729166667,17775,58.34064,26.57068
3.739583333,18608,57.33857,26.62286
3.75,21808,58.6902,27.4647
3.760416667,20969,60.46908,28.33436
3.770833333,21559,63.25004,29.26664
3.78125,20558,62.37225,30.63027
3.791666667,19310,62.21689,30.58853
3.802083333,17043,62.01492,28.16043
3.8125,17878,66.41162,29.79539
3.822916667,21360,67.18843,29.82322
3.833333333,22636,68.47015,30.30328
3.84375,22542,71.88808,32.13305
3.854166667,24225,75.64392,33.77149
3.864583333,20907,77.44222,34.30373
3.875,18809,80.08335,35.63953
3.885416667,20576,82.60408,36.06393
3.895833333,25680,83.83531,35.93174
3.90625,23444,84.21983,35.45168
3.916666667,23139,83.377,35.69519
3.927083333,23551,81.99584,35.62561
3.9375,20895,80.14161,35.37863
3.947916667,26044,77.75294,34.9438
3.958333333,24830,75.6245,34.14371
3.96875,23966,71.87255,32.70355
3.979166667,23311,69.45669,31.46515
3.989583333,22576,67.49915,30.68245
4,20411,63.63455,30.24762
4.010416667,20408,61.67313,30.21283
4.020833333,18616,61.71973,31.04771
4.03125,18359,62.16018,31.67387
4.041666667,18040,64.57526,33.15925
4.052083333,17452,67.84871,35.11773
4.0625,17034,72.14054,37.86587
4.072916667,16480,72.47069,37.86587
4.083333333,15778,69.7643,36.8501
4.09375,15863,67.49915,36.47441
4.104166667,15636,62.83833,34.38721
4.114583333,14246,62.24019,34.67942
4.125,13234,53.74197,32.06695
4.135416667,12513,54.44886,29.89975
4.145833333,11946,50.06769,27.06813
4.15625,11373,46.35457,24.70265
4.166666667,11968,44.35819,23.38772
4.177083333,11468,42.57931,22.19802
4.1875,11771,40.00033,20.31607
4.197916667,12929,40.38873,20.54218
4.208333333,12195,40.77713,20.71611
4.21875,13090,40.46641,20.7509
4.229166667,13414,40.83539,20.66393
4.239583333,13404,40.46641,20.61175
4.25,12250,40.50525,20.54218
4.260416667,12275,40.52467,20.43782
4.270833333,11669,40.31105,20.40303
4.28125,11895,40.11685,20.15953
4.291666667,11705,40.04693,20.02734
4.302083333,11843,40.34212,19.99951
4.3125,12189,40.58293,20.10039
4.322916667,12669,40.89365,20.40303
4.333333333,12645,41.16553,20.82047
4.34375,12456,41.86465,21.16834
4.354166667,13219,42.42395,21.6136
4.364583333,13732,43.94649,22.1354
4.375,16832,48.77431,24.68178
4.385416667,16830,59.88648,29.65625
4.395833333,21148,71.46084,34.24807
4.40625,24560,80.00567,37.93544
4.416666667,23953,94.90087,43.39692
4.427083333,25904,105.7761,46.61468
4.4375,27488,115.2104,49.24802
4.447916667,29553,120.011,49.99941
4.458333333,29829,118.9701,49.24802
4.46875,29837,112.1109,45.74154
4.479166667,29558,102.4553,40.85751
4.489583333,26139,94.81153,39.03469
4.5,24930,88.37961,36.8501
4.510416667,24925,81.2874,34.24807
4.520833333,23924,75.7721,32.16088
4.53125,23857,70.37332,30.77985
4.541666667,21088,68.27595,29.79539
4.552083333,24802,67.03307,29.23881
4.5625,24220,66.76507,28.52221
4.572916667,22794,67.07967,27.95867
4.583333333,21983,68.08952,28.12564
4.59375,19441,68.72261,27.55166
4.604166667,17806,68.31479,27.4647
4.614583333,23695,65.16874,26.45589
4.625,21662,61.64516,26.1776
4.635416667,20152,59.76219,26.28891
4.645833333,21161,58.94655,26.78984
4.65625,17348,59.38933,27.29076
4.666666667,16651,60.21274,27.12379
4.677083333,18264,62.42662,27.42295
4.6875,18220,65.86786,28.33436
4.697916667,18613,65.61928,28.2787
4.708333333,18056,64.00353,27.7082
4.71875,17578,59.54469,26.68548
4.729166667,17335,58.34064,26.57068
4.739583333,17638,57.33857,26.62286
4.75,17744,58.6902,27.4647
4.760416667,17747,60.46908,28.33436
4.770833333,17733,63.25004,29.26664
4.78125,21738,62.37225,30.63027
4.791666667,21176,62.21689,30.58853
4.802083333,20749,62.01492,28.16043
4.8125,21158,66.41162,29.79539
4.822916667,17930,67.18843,29.82322
4.833333333,19535,68.47015,30.30328
4.84375,22636,71.88808,32.13305
4.854166667,21182,75.64392,33.77149
4.864583333,21436,77.44222,34.30373
4.875,20522,80.08335,35.63953
4.885416667,18098,82.60408,36.06393
4.895833333,24479,83.83531,35.93174
4.90625,22590,84.21983,35.45168
4.916666667,21673,83.377,35.69519
4.927083333,21063,81.99584,35.62561
4.9375,16683,80.14161,35.37863
4.947916667,24122,77.75294,34.9438
4.958333333,21831,75.6245,34.14371
4.96875,22589,71.87255,32.70355
4.979166667,21074,69.45669,31.46515
4.989583333,18895,67.49915,30.68245
5,16990,63.63455,30.24762
5.010416667,16990,61.67313,30.21283
5.020833333,15964,61.71973,31.04771
5.03125,15806,62.16018,31.67387
5.041666667,15610,64.57526,33.15925
5.052083333,15247,67.84871,35.11773
5.0625,14989,72.14054,37.86587
5.072916667,14647,72.47069,37.86587
5.083333333,14212,69.7643,36.8501
5.09375,14266,67.49915,36.47441
5.104166667,14126,62.83833,34.38721
5.114583333,13264,62.24019,34.67942
5.125,12636,53.74197,32.06695
5.135416667,12189,54.44886,29.89975
5.145833333,11836,50.06769,27.06813
5.15625,11481,46.35457,24.70265
5.166666667,11851,44.35819,23.38772
5.177083333,11540,42.57931,22.19802
5.1875,11729,40.00033,20.31607
5.197916667,12450,40.38873,20.54218
5.208333333,11994,40.77713,20.71611
5.21875,12552,40.46641,20.7509
5.229166667,12755,40.83539,20.66393
5.239583333,12749,40.46641,20.61175
5.25,12030,40.50525,20.54218
5.260416667,12046,40.52467,20.43782
5.270833333,11668,40.31105,20.40303
5.28125,11810,40.11685,20.15953
5.291666667,11692,40.04693,20.02734
5.302083333,11778,40.34212,19.99951
5.3125,11994,40.58293,20.10039
5.322916667,12294,40.89365,20.40303
5.333333333,12280,41.16553,20.82047
5.34375,12162,41.86465,21.16834
5.354166667,12640,42.42395,21.6136
5.364583333,12962,43.94649,22.1354
5.375,14903,48.77431,24.68178
5.385416667,14903,59.88648,29.65625
5.395833333,17608,71.46084,34.24807
5.40625,19748,80.00567,37.93544
5.416666667,19370,94.90087,43.39692
5.427083333,20596,105.7761,46.61468
5.4375,21592,115.2104,49.24802
5.447916667,22891,120.011,49.99941
5.458333333,23068,118.9701,49.24802
5.46875,23077,112.1109,45.74154
5.479166667,22905,102.4553,40.85751
5.489583333,20762,94.81153,39.03469
5.5,20005,88.37961,36.8501
5.510416667,20005,81.2874,34.24807
5.520833333,19379,75.7721,32.16088
5.53125,19339,70.37332,30.77985
5.541666667,17601,68.27595,29.79539
5.552083333,19939,67.03307,29.23881
5.5625,19576,66.76507,28.52221
5.572916667,18681,67.07967,27.95867
5.583333333,18173,68.08952,28.12564
5.59375,16574,68.72261,27.55166
5.604166667,15545,68.31479,27.4647
5.614583333,19259,65.16874,26.45589
5.625,17980,61.64516,26.1776
5.635416667,17030,59.76219,26.28891
5.645833333,17669,58.94655,26.78984
5.65625,15264,59.38933,27.29076
5.666666667,14826,60.21274,27.12379
5.677083333,15846,62.42662,27.42295
5.6875,15819,65.86786,28.33436
5.697916667,16069,65.61928,28.2787
5.708333333,15719,64.00353,27.7082
5.71875,15418,59.54469,26.68548
5.729166667,15266,58.34064,26.57068
5.739583333,15459,57.33857,26.62286
5.75,15528,58.6902,27.4647
5.760416667,15531,60.46908,28.33436
5.770833333,15524,63.25004,29.26664
5.78125,18062,62.37225,30.63027
5.791666667,17708,62.21689,30.58853
5.802083333,17440,62.01492,28.16043
5.8125,17701,66.41162,29.79539
5.822916667,15656,67.18843,29.82322
5.833333333,16676,68.47015,30.30328
5.84375,18646,71.88808,32.13305
5.854166667,17726,75.64392,33.77149
5.864583333,17889,77.44222,34.30373
5.875,17311,80.08335,35.63953
5.885416667,15773,82.60408,36.06393
5.895833333,19830,83.83531,35.93174
5.90625,18631,84.21983,35.45168
5.916666667,18051,83.377,35.69519
5.927083333,17665,81.99584,35.62561
5.9375,14880,80.14161,35.37863
5.947916667,19617,77.75294,34.9438
5.958333333,18161,75.6245,34.14371
5.96875,18646,71.87255,32.70355
5.979166667,17683,69.45669,31.46515
5.989583333,16297,67.49915,30.68245
6,15388,63.63455,30.24762
6.010416667,15534,61.67313,30.21283
6.020833333,15779,61.71973,31.04771
6.03125,18281,62.16018,31.67387
6.041666667,17472,64.57526,33.15925
6.052083333,18215,67.84871,35.11773
6.0625,18130,72.14054,37.86587
6.072916667,13548,72.47069,37.86587
6.083333333,13661,69.7643,36.8501
6.09375,13676,67.49915,36.47441
6.104166667,13339,62.83833,34.38721
6.114583333,13075,62.24019,34.67942
6.125,12042,53.74197,32.06695
6.135416667,12042,54.44886,29.89975
6.145833333,11397,50.06769,27.06813
6.15625,11220,46.35457,24.70265
6.166666667,10898,44.35819,23.38772
6.177083333,10627,42.57931,22.19802
6.1875,11347,40.00033,20.31607
6.197916667,10876,40.38873,20.54218
6.208333333,11186,40.77713,20.71611
6.21875,11343,40.46641,20.7509
6.229166667,11624,40.83539,20.66393
6.239583333,11522,40.46641,20.61175
6.25,11844,40.50525,20.54218
6.260416667,12105,40.52467,20.43782
6.270833333,11429,40.31105,20.40303
6.28125,11457,40.11685,20.15953
6.291666667,11826,40.04693,20.02734
6.302083333,12021,40.34212,19.99951
6.3125,11488,40.58293,20.10039
6.322916667,11613,40.89365,20.40303
6.333333333,11632,41.16553,20.82047
6.34375,11482,41.86465,21.16834
6.354166667,12270,42.42395,21.6136
6.364583333,11978,43.94649,22.1354
6.375,11889,48.77431,24.68178
6.385416667,13692,59.88648,29.65625
6.395833333,18050,71.46084,34.24807
6.40625,18506,80.00567,37.93544
6.416666667,19118,94.90087,43.39692
6.427083333,20560,105.7761,46.61468
6.4375,21862,115.2104,49.24802
6.447916667,23227,120.011,49.99941
6.458333333,23379,118.9701,49.24802
6.46875,23258,112.1109,45.74154
6.479166667,23272,102.4553,40.85751
6.489583333,23155,94.81153,39.03469
6.5,22701,88.37961,36.8501
6.510416667,20461,81.2874,34.24807
6.520833333,19774,75.7721,32.16088
6.53125,19390,70.37332,30.77985
6.541666667,19166,68.27595,29.79539
6.552083333,18973,67.03307,29.23881
6.5625,18003,66.76507,28.52221
6.572916667,19264,67.07967,27.95867
6.583333333,18789,68.08952,28.12564
6.59375,18332,68.72261,27.55166
6.604166667,17713,68.31479,27.4647
6.614583333,17500,65.16874,26.45589
6.625,17495,61.64516,26.1776
6.635416667,17134,59.76219,26.28891
6.645833333,17273,58.94655,26.78984
6.65625,16898,59.38933,27.29076
6.666666667,16692,60.21274,27.12379
6.677083333,16445,62.42662,27.42295
6.6875,16037,65.86786,28.33436
6.697916667,15806,65.61928,28.2787
6.708333333,15565,64.00353,27.7082
6.71875,15456,59.54469,26.68548
6.729166667,15402,58.34064,26.57068
6.739583333,15915,57.33857,26.62286
6.75,17883,58.6902,27.4647
6.760416667,17370,60.46908,28.33436
6.770833333,17735,63.25004,29.26664
6.78125,17121,62.37225,30.63027
6.791666667,16355,62.21689,30.58853
6.802083333,14962,62.01492,28.16043
6.8125,15477,66.41162,29.79539
6.822916667,17623,67.18843,29.82322
6.833333333,18411,68.47015,30.30328
6.84375,18356,71.88808,32.13305
6.854166667,19395,75.64392,33.77149
6.864583333,17352,77.44222,34.30373
6.875,16060,80.08335,35.63953
6.885416667,17152,82.60408,36.06393
6.895833333,20304,83.83531,35.93174
6.90625,18926,84.21983,35.45168
6.916666667,18740,83.377,35.69519
6.927083333,18997,81.99584,35.62561
6.9375,17359,80.14161,35.37863
6.947916667,20544,77.75294,34.9438
6.958333333,19796,75.6245,34.14371
6.96875,19265,71.87255,32.70355
6.979166667,18862,69.45669,31.46515
6.989583333,18409,67.49915,30.68245
7,21477,63.63455,30.24762
7.010416667,21474,61.67313,30.21283
7.020833333,19620,61.71973,31.04771
7.03125,19334,62.16018,31.67387
7.041666667,18978,64.57526,33.15925
7.052083333,18321,67.84871,35.11773
7.0625,17855,72.14054,37.86587
7.072916667,17237,72.47069,37.86587
7.083333333,16453,69.7643,36.8501
7.09375,16548,67.49915,36.47441
7.104166667,16295,62.83833,34.38721
7.114583333,14743,62.46546,34.67942
7.125,13613,53.74197,32.06695
7.135416667,12807,54.44886,29.89975
7.145833333,12173,50.06769,27.06813
7.15625,11533,46.35457,24.70265
7.166666667,12198,44.35819,23.38772
7.177083333,11640,42.57931,22.19802
7.1875,11978,40.00033,20.31607
7.197916667,13272,40.38873,20.54218
7.208333333,12452,40.77713,20.71611
7.21875,13453,40.46641,20.7509
7.229166667,13815,40.83539,20.66393
7.239583333,13803,40.46641,20.61175
7.25,12514,40.50525,20.54218
7.260416667,12542,40.52467,20.43782
7.270833333,11865,40.31105,20.40303
7.28125,12118,40.11685,20.15953
7.291666667,11906,40.04693,20.02734
7.302083333,12059,40.34212,19.99951
7.3125,12446,40.58293,20.10039
7.322916667,12982,40.89365,20.40303
7.333333333,12956,41.16553,20.82047
7.34375,12745,41.86465,21.16834
7.354166667,13597,42.42395,21.6136
7.364583333,14171,43.94649,22.1354
7.375,17637,48.77431,24.68178
7.385416667,17635,59.88648,29.65625
7.395833333,22461,71.46084,34.24807
7.40625,26276,80.00567,37.93544
7.416666667,25598,94.90087,43.39692
7.427083333,27780,105.7761,46.61468
7.4375,29551,115.2104,49.24802
7.447916667,31861,120.011,49.99941
7.458333333,32171,118.9701,49.24802
7.46875,32180,112.1109,45.74154
7.479166667,31869,102.4553,40.85751
7.489583333,28047,94.81153,39.03469
7.5,26695,88.37961,36.8501
7.510416667,26690,81.2874,34.24807
7.520833333,25572,75.7721,32.16088
7.53125,25496,70.37332,30.77985
7.541666667,22401,68.27595,29.79539
7.552083333,26555,67.03307,29.23881
7.5625,25905,66.76507,28.52221
7.572916667,24310,67.07967,27.95867
7.583333333,23404,68.08952,28.12564
7.59375,20560,68.72261,27.55166
7.604166667,18732,68.31479,27.4647
7.614583333,25320,65.16874,26.45589
7.625,23046,61.64516,26.1776
7.635416667,21357,59.76219,26.28891
7.645833333,22487,58.94655,26.78984
7.65625,18221,59.38933,27.29076
7.666666667,17442,60.21274,27.12379
7.677083333,19246,62.42662,27.42295
7.6875,19197,65.86786,28.33436
7.697916667,19637,65.61928,28.2787
7.708333333,19014,64.00353,27.7082
7.71875,18480,59.54469,26.68548
7.729166667,18208,58.34064,26.57068
7.739583333,18547,57.33857,26.62286
7.75,18666,58.6902,27.4647
7.760416667,18670,60.46908,28.33436
7.770833333,18654,63.25004,29.26664
7.78125,23137,62.37225,30.63027
7.791666667,22509,62.21689,30.58853
7.802083333,22031,62.01492,28.16043
7.8125,22489,66.41162,29.79539
7.822916667,18876,67.18843,29.82322
7.833333333,20674,68.47015,30.30328
